SKU,NAME,BESCHREIBUNG,SERIE,ALTER,TEILE,PREIS,URL
21102,Minecraft,"Kreieren, erforschen und spielen Sie mit dem Minecraft Mikromodell!

Bauen Sie mit der LEGO® Mikroversion von Minecraft ein Mini-Modell des beliebten Internet-Spiels! Das Set wurde von LEGO CUUSOO Mitgliedern ausgewählt und besitzt zahlreiche LEGO 1x1 Kacheln sowie 2 baubare Micromob-Charaktere: Steve und Creeper.

Enthält 2 baubare Micromob-Charaktere: Steve und Creeper.
Bauen Sie mit den bunten 1x1 Kacheln eine Minecraft Mikrowelt in realistischem Design!
Bauen Sie das von den LEGO® CUUSOO Mitgliedern gewählte Modell!",Minecraft,10+,480,34.99,http://cache.lego.com/e/dynamic/is/image/LEGO/21102?$large$
70002,Lennox 70002 Löwen-Buggy,"Crug ist hinter dem CHI her, das dem mächtigen Löwen-Buggy seine Kraft verleiht. Düse mit dem Allradantrieb davon und hilf Lennox, die große Klauenabwehr zu starten. Mach die Scheibenschussfunktion startklar und schicke den dreisten CHI-Dieb wieder in den Sumpf zurück, aus dem er gestiegen ist! Enthält 2 Minifiguren und eine Waffe!

Enthält 2 Minifiguren: Crug und Lennox sowie eine Waffe 
Enthält CHI, Klauenabwehr-Vorrichtung, Allradantrieb, Löwenkopffront und Scheibenschussfunktion 
Crugs normale Waffe als Zubehör enthalten 
Kämpfe dich mit dem Allradantrieb durch den Dschungel!
Schieße die Scheiben ab! Feuere die zwei Rakete ab! Beschütze das CHI des Löwenstammes!
Löwen-Buggy ist über 10 cm hoch, 19 cm lang und 16 cm breit",Chima,7-14,230,19.99,http://cache.lego.com/e/dynamic/is/image/LEGO/70002?$large$
70003,Eris Adlerjäger,"Starte den Adlerjäger, um das CHI zurückzugewinnen!

Der Adlerstamm muss gewarnt werden! Die Raben Razar und Rizzo haben sich des Adlerstamm-CHIs bemächtigt und sind im Begriff, mit dem geflügelten Rabengleiter zu entkommen! Starte Eris' Adlerjäger und lege den fiesen Raben das Handwerk! Starte die Abwehr aus der Luft! Mit coolem Adler-Schnabel, beweglichen Flügeln und Beinen, Greifklauen und Schwanz! Nimm die coole Abwehrsposition ein und feuere die Raketen ab, um die Banditen aufzuhalten, oder nimm sie gefangen und sperre sie in das Gefängnis an Bord! Notfalls kannst du auch den Schleudersitz auslösen und der Situation ganz leicht entkommen! Enthält 3 Minifiguren sowie passende Waffen.

Enthält 3 Minifiguren: Eris, Razar und Rizzo 
Mit CHI, Raketen, Cockpit mit Schleudersitz, realistischem Adler-Schnabel, beweglichen Flügeln und Beinen, Greifklauen und Schwanz 
Enthält auch einen Rabengleiter
Mit 4 CHI-Waffen 
Ändere mit den einklappbaren Flügeln den Flugmodus! 
Greife mit den Klauen! 
Feuere die Raketen ab! 
Aktiviere den verborgenen Schleudersitz! 
Verfrachte die diebischen Raben in das Gefängnis an Bord! Beschütze und verteidige das CHI des Adlerstammes! 
Der Adlerjäger ist über 8 cm hoch, 18 cm lang und 15 cm breit
Der Rabengleiter ist über 3 cm hoch, 11 cm lang und 15 cm breit
",Chima,8-14,348,32.99,http://cache.lego.com/e/dynamic/is/image/LEGO/70003?$large$
75008,TIE Bomber & Asteroid Field,"Lehre die Rebellen mit dem mächtigen TIE Bomber das Fürchten!

Der mächtige TIE Bomber™ verfügt über einen Platz für den Piloten und Waffen zum Abwerfen. Setze mit diesem effektiven Raumschiff die geheime Basis der Rebellen-Allianz bei der Schlacht um Hoth in der Szene aus Star Wars™: Episode V - Das Imperium schlägt zurück außer Gefecht! Das Set enthält ein Asteroid Field™ zum Aufhängen, ein TIE Bomber Mini-Modell, eine TIE Pilot Minifigur und einen Präsentations-Ständer mit Namensschild.

•Enthält TIE Pilot Minifigur
•Mit Asteroid Field™ zum Aufhängen und ein TIE Bomber™ Mini-Modell
•Enthält außerdem einen Präsentations-Ständer mit Namensschild
•Sammle alle Planeten und lasse an deiner Zimmerdecke die LEGO® Star Wars™ Galaxie entstehen!
•Das Asteroid Field™ besitzt einen Durchmesser von über 8 cm
•Der TIE Bomber ist über 3 cm hoch, 5 cm lang und 7 cm breit
•Sammle auch die anderen LEGO® Star Wars Planeten Sets: 75006 Jedi Starfighter™ & Kamino™, 75007 Republic Assault Ship™ & Coruscant™, 75009 Snowspeeder™ & Hoth™, 75010 B-Wing Starfighter™ & Endor™ und 75011 Tantive IV™ & Alderaan™",Star Wars,6-12,60,12.99,http://cache.lego.com/e/dynamic/is/image/LEGO/75008?$large$
10550,Zirkustransporter,"Lade das Giraffenbaby auf den Zirkustransporter und mach dich auf die Reise!

Der Zirkus geht auf Weltreise! Hilf dem Clown dabei, das Giraffenbaby in den Zirkustransporter mit dem dekorierten Anhänger zu laden, dann kann die Reise losgehen! Füttere die Tiere mit der Heugabel und baue mit den verschiedenen LEGO® DUPLO® Steinen! Mit DUPLO Clownfigur.

Mit LEGO® DUPLO® Clownfigur
DUPLO Fahrzeug mit dekoriertem Zirkusanhänger, Giraffenbaby, Heugabel und verschiedene DUPLO Steine als Zubehör enthalten
DUPLO Produkte sind bunt, geeignet für kleine Hände und machen Spaß
Über 11 cm hoch, 27 cm lang und 9 cm breit
Kann für noch kreativeren Spielspaß rund um das Thema Zirkus mit den Sets 10503 Seelöwen-Show und 10504 Großer Zirkus kombiniert werden!",Duplo,2-5,9,19.99,http://cache.lego.com/e/dynamic/is/image/LEGO/10550?$large$
79001,Flucht vor den Mirkwood™ Spinnen,"Besiege die Riesenspinnen und entkomme den lauernden Gefahren im Mirkwood™ Wald!

Folge den Zwergen auf ihrer Reise zum Einsamen Berg in den tiefen und unheimlichen Mirkwood™ Wald. Lauere den Helden mit 3 kleinen Spinnen und 2 Riesenspinnen auf und halte sie hoch im Baum in einem Spinnen-Kokon gefangen. Schlage gemeinsam mit Legolas Greenleaf™ und Tauriel™ die Spinnen in die Flucht und befreie die Zwerge mithilfe der Kippfunktion, bevor es zu spät ist! Enthält 4 Minifiguren: Die Zwerge Fili und Kili, Legolas Greenleaf und Tauriel, alle mit passender Ausrüstung.

• Enthält 4 Minifiguren: Die Zwerge Fili und Kili, Legolas Greenleaf und Tauriel, alle mit passender Ausrüstung 
• Enthält 2 Bäume, 2 große Spinnen, 2 kleine schwarze Spinnen, 1 kleine weiße Spinne, die im Dunkeln leuchtet und 2 Spinnen-Kokons 
• Der Baum verfügt über Kippfunktion, Spinnen-Sprungfunktion und im Dunkeln leuchtende Pilze 
• Die großen Spinnen haben im Dunkeln leuchtende Augen und bewegliche Körper und Beine 
• Enthält folgende Ausrüstung: 1 großen Bogen, 2 Bögen mit Köchern, 2 Schwerter und 2 Dolche 
• Befreie die Zwerge aus ihren Kokons mit der Kippfunktion! 
• Halte in jedem Kokon eine Minifigur gefangen! 
• Sammle die Zwerge Fili und Kili sowie Tauriel – nur in diesem Set erhältlich! 
• Der Baum ist über 11 cm hoch, 10 cm breit und 9 cm tief 
• Die großen Spinnen sind über 5 cm hoch, 10 cm lang und 8 cm breit",The Hobbit,8-14,298,29.99,http://cache.lego.com/e/dynamic/is/image/LEGO/79001?$large$
75001,Tantive IV™ & Alderaan™,"Bringe die Prinzessin mit dem Tantive IV™ sicher zum Planeten Alderaan™!

Baue das beeindruckende Raumschiff der Anfangsszene aus dem Film Star Wars™: Episode IV - Eine neue Hoffnung nach! Hier erscheint Prinzessin Leia Organa zum ersten Mal und versucht, die geheimen Pläne des Todessterns zu den Rebellen zu schmuggeln! Baue das berühmte Raumschiff als Mini-Modell und hänge Prinzessin Leia Organas Heimatplanet auf! Das Set enthält den Planeten Alderaan zum Aufhängen, ein Tantive IV™ Mini-Modell, eine Rebel Trooper Minifigur und einen Präsentations-Ständer mit Namensschild.

•Enthält Rebel Trooper Minifigur
•Mit Planet Alderaan™ zum Aufhängen sowie Tantive IV™ Mini-Modell
•Enthält außerdem einen Präsentations-Ständer mit Namensschild
•Sammle alle Planeten und lasse an deiner Zimmerdecke die LEGO® Star Wars™ Galaxie entstehen!
•Sammle auch die anderen LEGO® Star Wars Planeten Sets: 75006 Jedi Starfighter™ & Kamino™, 75007 Republic Assault Ship™ & Coruscant™, 75008 TIE Bomber™ & Planet Asteroid field, 75009 Snowspeeder™ & Hoth™ und 75010 B-Wing Starfighter™ & Endor™
•Planet Alderaan besitzt einen Durchmesser von über 8 cm
•Tantive IV ist über 3 cm hoch, 11 cm lang und 3 cm breit",Star Wars,6-12,102,12.99,http://cache.lego.com/e/dynamic/is/image/LEGO/75011?$large$
41001,Mias Zaubershow,"Übe mit Mia Zaubertricks für die große Zaubershow!

Mia übt in jeder freien Minute für die große Zaubershow in Heartlake City. Hilf ihr dabei, den Umgang mit Karten, Zauberstab, Trickblumen, Kaninchen und Zylinder zu erlernen. Baue die Bühne für ihren fesselnden Auftritt und versetze die Zuschauer in ungläubiges Staunen, indem du das Kaninchen im Zauberschrank verschwinden lässt! Enthält die Spielfigur Mia.

• Enthält die Spielfigur Mia und ein Kaninchen
• Zauberschrank, der Gegenstände verschwinden lässt, und Zauberbühne als Zubehör enthalten
• Mit Zauberstab, Trickblumen, Münzen, Bechern, Schals und einem Zylinder
• Verwende die Trickfunktion des Zauberschranks, um das Kaninchen verschwinden zu lassen!
• Übe mit Mia die Zaubertricks ein und trete in Heartlake City auf!
• Die LEGO® Friends Steine lassen sich beliebig mit allen LEGO Elementen kombinieren
• Sammle sämtliche LEGO Friends Sets, um die ganze Welt von LEGO Friends zu erkunden und zu erleben!
• Bei den LEGO Friends Spielfiguren handelt es sich um Minifiguren, die speziell für die Welt von LEGO Friends geschaffen wurden und unbegrenzte Bau- und Spielkombinationen ermöglichen
• Über 7 cm hoch, 5 cm breit und 10 cm lang",Friends,5-12,90,9.99,http://cache.lego.com/e/dynamic/is/image/LEGO/41001?$large$
9471,Uruk-hai™ Armee,"Schlage die Armee der Uruk-hai in die Flucht!

Um sich vor dem Angriff der bösartigen Uruk-hai zu schützen, hat sich das Volk von Rohan in die alte Festung Helms Klamm zurückgezogen – ihre letzte Rettung! Doch die Uruk-hai rücken immer näher und beschießen die Festung mit brennenden Haken aus dem gepanzerten Hakenwerfer, um die Verteidigungsmauern zu durchstoßen. Können Éomer und der Soldat von Rohan die Uruk-hai aufhalten und das Unheil abwenden? Enthält 6 Minifiguren: Éomer, Soldat von Rohan und 4 Uruk-hai.

Enthält 6 Minifiguren: Éomer, Soldat von Rohan und 4 Uruk-hai
Enthält die Festungsmauer mit abnehmbarem Katapult und eine Hakenschleuder
Helme, Schilder, Schwert, Bogen, Speer und Waffen als Zubehör enthalten
Enthält außerdem ein neues LEGO Pferd
Verteidige die Festung mit dem Katapult!
Feuere die Haken ab!
Sammle die exklusive Minifigur Éomer!
Kombiniere das Set mit 9474 Die Schlacht um Helms Klamm™ und baue deine eigene Armee von Uruk-hai für eine noch größere Schlacht!
Die Festungsmauer ist 9 cm hoch und 13 cm breit
Die Hakenschleuder ist 10 cm lang
",Lord of the Rings,8-14,257,39.99,http://cache.lego.com/e/dynamic/is/image/LEGO/9471?$large$
3815,Helden der Tiefe,"Fange Plankton und bring die Geheimformel in Sicherheit!

Plankton hat die Krabbenburger-Formel gestohlen. SpongeBob und Patrick sind ihm auf den Fersen. Setze sie ins Bootmobil und nimm die Verfolgung auf! Können unsere Helden Plankton einholen und die Geheimformel in Sicherheit bringen? Es liegt in deiner Hand!
Enthält 3 Minifiguren: SpongeBob™, Patrick und Plankton
Bootmobil ist ebenfalls enthalten
Geheimformel und Planktons Roboteranzug als Zubehör enthalten
Hole die Geheimformel mit dem superschnellen Bootmobil der beiden Freunde zurück!
Ziele mit den Blasenwerfern auf Plankton!
Drehe die Schiffsschrauben des Bootmobils!
Das Bootmobil ist 5 cm breit und 15 cm lang",SpongeBob,5-12,59,19.99,http://cache.lego.com/e/dynamic/is/image/LEGO/3815?$large$
